Code;Systeme;Station;Saison;Temp;Sal;NID;PID;Chla;RTP (selon modele Emma);Phyto-Microbien (proba);Herbivore (proba);Multivore (proba);Poly-Microbien;BAC->DOC;BAC->MES;BAC->MIC;BAC->RES;BACingest;BACprod;DET->DOC;DET->LOS;DET->MES;DET->MIC;DETprod;DOC->BAC;DOC->MIC;DOCprod;GPP->PH1;GPP->PH2;GPP->PH3;MES->DET;MES->DOC;MES->LOS;MES->RES;MESingest;MESprod;MIC->DET;MIC->DOC;MIC->MES;MIC->RES;MICingest;MICprod;PH1->DOC;PH1->MES;PH1->MIC;PH1->RES;PH1ingest;PH1prod;PH2->DET;PH2->DOC;PH2->MES;PH2->MIC;PH2->RES;PH2ingest;PH2prod;PH3->DET;PH3->DOC;PH3->MES;PH3->MIC;PH3->RES;PH3ingest;PH3prod;rat1;rat2;rat3;rat4;rat5;rat6;rat7;rat8;ratio9;ratio10;ratio11;Res;Robust;RoDC;RU;SOI;T,,;TotGPP;totLOS;totNPP;Totprod;totRES;TST;P/B;EffTroph;PhtBiom;AMI;AoDC;APL;AsceNAency;CCI;Connectance;DC;Herbivory;Bacterivory;Detritivory;DH;HR;Overhead;PhtTOmic;ProdoRes
Gsps;BayofBiscay;BayofBiscay_panacheGiroNAe_surface;Spring;12,76;33,66;5,11;0,01;0,9508713527;Phyto-Microbien;0,9553817006;0,0314767222;0,004243414;0,0088981631;0,002374861;0,002024737;0,001985246;0,003447257;0,013953724;0,004009983;0,002739018;0,000724353;0,004198923;0,002874872;0,053373536;0,013953724;0,059088961;0,071169853;0,034583989;0,02975911;0,023344751;0,01397794;0,010674094;0,000634875;0,019070988;0,051327976;0,019040949;0,025100873;0,024983317;0,002178267;0,034241052;0,098165196;0,041886269;0,003666391;0,010976196;0,001518372;0,00205623;0,034583989;0,0285553;0,001095631;0,003081999;0,000806265;0,000779435;0,001744225;0,02975911;0,024636059;0,000657211;0,002408401;0,000595266;0,000631521;0,001375723;0,023344751;0,018951592;0,043800804;0,029684409;0,926514787;0,359463242;0,019980351;0,620556407;0,395815525;0,191371103;0,850352576;0,700648653;0,191035201;0,075156134;0,3673252;0,3716757;0,6063772;0,05331699;0,343354074;0,082857135;0,006607558;0,070947206;0,082857135;0,075156134;0,34637732;0,138001146;0,263933603;0,037508225;1,57934;0,3882576;2,249119;0,542272665;0,15658472;0,4285714;1,396682649;0,039530439;0,004009983;0,032730982;0,827994397;2,60455;0,519113011;0,017642072;1,073759483
Gspm;BayofBiscay;BayofBiscay_panacheGiroNAe_maxchla;Spring;11,91;34,53;2;0,09;1,614903685;Herbivore;0,0028953943;0,9859585923;0,0074144098;0,0037316036;0,003521559;0,002765653;0,00268465;0,004279735;0,016130525;0,005450303;0,001429714;0,000342528;0,002828481;0,001392481;0,027175015;0,013678919;0,021421398;0,037227937;0,002537933;0,01967216;0,020126134;0,006739724;0,005075906;0,000268735;0,009034094;0,024366355;0,009017747;0,00826006;0,009268861;0,00085436;0,014694285;0,041770106;0,01695892;0,000263758;0,000622422;0,000537868;0,000152501;0,002537933;0,001999631;0,000779911;0,002084987;0,000560067;0,00049575;0,001149801;0,01967216;0,016645978;0,000750195;0,002133083;0,000520319;0,000502895;0,001176641;0,020126134;0,017183699;0,056834127;0,099302601;0,843863272;0,339027622;0,051572396;0,609399982;0,055809925;0,474331812;0,665896022;0,646149289;0,389709272;0,036582181;0,3678455;0,3990106;0,5762982;0,09283905;0,162607568;0,040357004;0,002920356;0,035118796;0,040357004;0,036582181;0,161841378;0,016644443;0,251686329;0,148935174;1,544565;0,3728847;2,227123;0,251157914;0,16494418;0,4285714;0,673553742;0,015926153;0,005450303;0,017899876;1,123929677;2,680148;0,268755081;0,005685515;1,070719051
Gspb;BayofBiscay;BayofBiscay_panacheGiroNAe_foNA;Spring;11,46;35,04;2,25;0,01;1,6177720752;Herbivore;0,0091928609;0,9164174556;0,0565079146;0,0178817689;0,004054876;0,003236088;0,003138336;0,004870633;0,014527856;0,006374424;0,001296743;0,000299189;0,001488708;0,001283269;0,02508699;0,014527856;0,016387986;0,034987549;0,00345049;0,009369161;0,02546637;0,00640682;0,004681377;0,000259463;0,008219573;0,022875678;0,008081652;0,007435579;0,007764251;0,000725124;0,012161554;0,035790685;0,014498181;0,000364381;0,00048087;0,000404029;0,000212136;0,00345049;0,002714152;0,000327444;0,000989043;0,000245766;0,000242104;0,000553873;0,009369161;0,007852813;0,003465659;0,00271673;0,000656346;0,00061116;0,001462986;0,02546637;0,022140862;0,056976463;0,142219264;0,800804273;0,32985968;0,064286309;0,605854012;0,082981728;0,476197745;0,656030579;0,623853694;0,469916233;0,033073234;0,3678731;0,4103988;0,5652716;0,10267822;0,149255973;0,0367991;0,002570834;0,032260004;0,0367991;0,033073234;0,149791039;0,044579753;0,247086179;0,050000165;1,526451;0,3657226;2,240352;0,227831912;0,15477457;0,4285714;0,622963739;0,014100022;0,006374424;0,01512873;1,0729579;2,700385;0,2556636;0,005035386;1,069630562
Csps;BayofBiscay;BayofBiscay_Coast_surface;Spring;12,37;34,13;2,01;0,01;1,5259835887;Herbivore;0,0158134433;0,9723012906;0,0065394555;0,0053458106;0,001382988;0,001195782;0,001177045;0,002045431;0,008414054;0,002372826;0,00221123;0,000604079;0,005219561;0,002357343;0,048473278;0,008414054;0,049656928;0,057203742;0,007978167;0,01199657;0,048246599;0,010056824;0,008075418;0,000508392;0,015434234;0,041969495;0,014754998;0,019355585;0,019434784;0,001945084;0,028253091;0,080368238;0,034756181;0,00084663;0,001815076;0,000350295;0,000480358;0,007978167;0,00628265;0,000325395;0,001229364;0,00034169;0,000303729;0,000717795;0,01199657;0,009498421;0,006121801;0,005051499;0,001395471;0,001223141;0,002789065;0,048246599;0,041940141;0,03408783;0,021374205;0,944537965;0,348198369;0,014313874;0,637487757;0,108844735;0,345740654;0,646176019;0,706457335;0,144892573;0,058094339;0,3668636;0,384997;0,6032793;0,04716414;0,268540498;0,066029219;0,005338035;0,057522018;0,066029219;0,058094339;0,273629389;0,033860506;0,255625228;0,117754235;1,546257;0,3955555;2,204153;0,415232695;0,16087831;0,4285714;1,049745611;0,027129659;0,002372826;0,032226414;1,187866534;2,563087;0,40414886;0,007957997;1,08064556
Cspm;BayofBiscay;BayofBiscay_Coast_maxchla;Spring;11,82;34,31;2,71;0,01;3,4822257079;Herbivore;0,004146272;0,9909803558;0,0027081827;0,0021651895;0,002782445;0,002438043;0,002396149;0,004037793;0,017044621;0,004834193;0,003499525;0,000843875;0,007830004;0,003193939;0,064297831;0,017044621;0,061147697;0,075895376;0,007363771;0,017905425;0,066839146;0,015256778;0,010919463;0,000687372;0,020728356;0,055053325;0,020158058;0,023167444;0,023579348;0,002415006;0,03552144;0,102464331;0,043405666;0,000774812;0,002089968;0,00120926;0,000451262;0,007363771;0,005768356;0,000512524;0,001857183;0,000491917;0,000467837;0,001063175;0,017905425;0,014579221;0,008612226;0,007053334;0,00181759;0,001751396;0,003834666;0,066839146;0,058749071;0,048862404;0,034149581;0,916988015;0,352914597;0,021569274;0,625516129;0,072927945;0,437979946;0,64560676;0,683482918;0,217983319;0,078757481;0,367274;0,3984447;0,5920676;0,05706854;0,36158479;0,089344148;0,00687254;0,077407235;0,089344148;0,078757481;0,36716946;0,040166272;0,254853505;0,133173996;1,550572;0,3891868;2,227146;0,560663271;0,15348258;0,4285714;1,440602076;0,033917415;0,004834193;0,039319369;1,159267857;2,618911;0,574000297;0,010144081;1,073558968
Cspb;BayofBiscay;BayofBiscay_Coast_foNA;Spring;11,76;34,38;1,67;0,01;3,3445429781;Herbivore;0,004252527;0,9791749605;0,0110752423;0,0054972701;0,005398257;0,004299759;0,004170569;0,006902351;0,025243552;0,008470328;0,002452952;0,000563792;0,004851283;0,002326157;0,045819231;0,023199026;0,036148515;0,062792612;0,007628789;0,005660091;0,05819703;0,011071889;0,008789902;0,000499346;0,015978081;0,042100964;0,015462102;0,013700877;0,017079479;0,001559387;0,025272451;0,072033698;0,03054041;0,000804288;0,000392785;0,000781677;0,000460304;0,007628789;0,006033235;0,000154557;0,000586572;0,00014497;0,000144318;0,000338631;0,005660091;0,004465171;0,011885608;0,006117556;0,001548245;0,001320632;0,003315589;0,05819703;0,050920245;0,0500453;0,09290255;0,85705215;0,344080494;0,047452599;0,608466907;0,098231317;0,518536906;0,572230054;0,660219856;0,390901217;0,061076113;0,3675878;0,4135519;0,5782204;0,08829174;0,283745715;0,070000799;0,00525702;0,061843238;0,070000799;0,061076113;0,28479682;0,04092517;0,251749294;0,100537739;1,54235;0,3826244;2,262671;0,437635277;0,15140916;0,4285714;1,143772434;0,02604493;0,008470328;0,030235489;1,160897303;2,667409;0,473009296;0,006167676;1,076202189
Osps;BayofBiscay;BayofBiscay_Offshore_surface;Spring;12,7;35,13;3,1;0,19;2,1598978238;Phyto-Microbien;0,9650460548;0,0238842094;0,0034389606;0,0076307752;0,005362517;0,004424269;0,004349338;0,007445922;0,03098938;0,008773607;0,005239832;0,001392734;0,00661451;0,004910994;0,096594986;0,03098938;0,106843488;0,135626476;0,065032291;0,033835397;0,064995177;0,026013221;0,01845988;0,001168505;0,035908465;0,094981394;0,034071115;0,047184605;0,047096;0,003682168;0,063882008;0,183322975;0,077974798;0,006873515;0,019093272;0,002970264;0,003866532;0,065032291;0,053400898;0,001082948;0,003501329;0,000914831;0,000880325;0,002006941;0,033835397;0,027354804;0,002226412;0,006833328;0,001769049;0,001720401;0,003820122;0,064995177;0,054311324;0,045785894;0,035745591;0,918468515;0,3591615;0,023330208;0,617508292;0,395365913;0,203706343;0,855370528;0,718410004;0,22483302;0,141083012;0,3673895;0,3739483;0,6050597;0,05715878;0,64238997;0,153898148;0,010978874;0,132659783;0,153898148;0,141083012;0,652587151;0,06825047;0,252253389;0,142029719;1,575547;0,3870277;2,223077;1,012115604;0,15308393;0,4285714;2,615098515;0,073283276;0,008773607;0,065472466;0,8934162;2,603953;0,97791157;0,031494722;1,074159931
Ospm;BayofBiscay;BayofBiscay_Offshore_maxchla;Spring;12;35,31;2,26;0,11;1,8415065111;Herbivore;0,0046110378;0,9857803487;0,0059631803;0,0036454333;0,00203753;0,001633563;0,001577976;0,002614626;0,009524179;0,003211539;0,000916771;0,000209094;0,001218053;0,000880596;0,016867325;0,009103859;0,01252632;0,022056149;0,003987515;0,021683946;0;0,00412519;0,003071127;0,0001757;0,005454232;0,014582141;0,005651154;0,005407446;0,005853207;0,000567688;0,008955676;0,025451234;0,010730384;0,000427317;0,001197637;0,000690461;0,000242487;0,003987515;0,003133184;0,004203377;0,002299406;0,000567888;0,000553071;0,001229848;0,021683946;0,019045111;-0,000459978;-0,000459978;-0,000459978;-0,000459978;-0,000459978;-0,000459978;-0,000459978;0,049691263;0,100071751;0,850236986;0,340128181;0,05029556;0,609576259;0,144264586;0,375067553;0,696947794;0,655870455;0,420886901;0,022133091;0,3674505;0,4278767;0,5747983;0,09048654;0,103411607;0,025153249;0,00182638;0,022334167;0,025153249;0,022133091;0,103751778;0,00768886;0,260202206;0,131665424;1,542851;0,3857873;NA;0,159548701;NA;0,3571429;0,413566456;0,009372518;0,003211539;0,010204078;1,088723223;2,684161;0,176955446;0,00240308;1,071600165
Ospb;BayofBiscay;BayofBiscay_Offshore_foNA;Spring;12;35,38;2,24;0,17;0,6152696988;Herbivore;0,0100971273;0,9788409211;0,0056185298;0,0054434218;0,000814459;0,00063645;0,000618303;0,001007188;0,003798937;0,001254753;0,0004699;0,000112602;0,00098416;0,000437664;0,00908332;0,004076923;0,008213638;0,011615648;0,001471381;0,003126205;0,009533105;0,002212601;0,00162055;0,000100214;0,003149206;0,008474551;0,003032693;0,00324782;0,003358785;0,000294973;0,005257386;0,014754399;0,00615014;0,00016219;0,000432963;0,000185533;9,01E-05;0,001471381;0,001153517;9,14E-05;0,000323492;0,000091305;8,79E-05;0,000185694;0,003126205;0,002499409;0,001107431;0,001011148;0,000253161;0,000242976;0,000546159;0,009533105;0,008365805;0,052769003;0,063182387;0,88404861;0,353778732;0,036934426;0,609286842;0,095976605;0,399124272;0,724941766;0,674544894;0,331711709;0,012120967;0,3676785;0,4006312;0,5839337;0,07336569;0,055554978;0,013582094;0,001002149;0,011906541;0,013582094;0,012120967;0,056398956;0,008686591;0,25233055;0,094626751;1,554528;0,3801043;2,218401;0,086361794;0,1467613;0,4285714;0,227205506;0,005232187;0,001254753;0,006133223;1,172210206;2,662166;0,091025623;0,001670132;1,075353803
Gsus;BayofBiscay;BayofBiscay_panacheGiroNAe_surface;Summer;17,13;31,82;5,06;0,17;2,7698036899;Phyto-Microbien;0,8032743981;0,1222569923;0,0180909672;0,0563776423;0,014280112;0,011325266;0,01101664;0,017788248;0,06717035;0,022341906;0,006824824;0,00172349;0,009061966;0,00706169;0,134409462;0,062280716;0,126619383;0,192939715;0,07560275;0,089151136;0,063820513;0,036287326;0,026191405;0,001516393;0,050511892;0,132589451;0,048334499;0,052335238;0,057126898;0,004845611;0,080635838;0,229579416;0,098462633;0,008201319;0,021460708;0,008185865;0,004493856;0,07560275;0,061527305;0,002832805;0,009283413;0,002361627;0,002341033;0,005245689;0,089151136;0,075883824;0,002086765;0,00673059;0,0019649;0,001806305;0,003765533;0,063820513;0,052472297;0,078539967;0,070155867;0,851304166;0,351913263;0,041406526;0,606680211;0,324026727;0,323532563;0,841816493;0,685646442;0,329701871;0,194510768;0,367874;0,3899219;0,5804815;0,08108921;0,886767743;0,215198499;0,015345584;0,186765119;0,215198499;0,194510768;0,882747949;0,551330405;0,254548277;0,024495435;1,555914;0,3698761;2,26209;1,379734157;0,15360141;0,4285714;3,730260364;0,097634578;0,022341906;0,084203572;0,86243597;2,680385;1,454510198;0,047180718;1,071329712
